FLIGHT DATA
T,Period(ms), T(degC), P(Pa), a-X(g), a-Y(g), a-Z(g), w-X (deg/s), w-Y (deg/s), w-Z (deg/s), Angle-X (deg), Angle-Y(deg)
46,46,23.57,74351.62,0.00,-0.00,1.00,-0.04,0.02,0.00,-0.03,-0.04
92,46,23.57,74351.62,0.00,-0.00,0.99,0.04,-0.00,-0.00,-0.02,-0.02
160,68,23.57,74351.78,-0.00,0.00,1.00,0.00,0.00,0.00,-0.00,-0.00
229,69,23.57,74351.62,0.00,-0.00,1.00,0.00,-0.00,0.05,-0.00,-0.01
305,76,23.57,74351.62,0.00,-0.00,0.99,-0.02,-0.02,0.02,-0.01,-0.01
370,65,23.57,74351.62,0.00,0.00,1.00,-0.02,-0.00,0.02,-0.00,-0.02
446,76,23.57,74351.45,-0.00,-0.00,0.99,-0.01,-0.02,-0.02,-0.00,-0.01
513,67,23.57,74351.34,-0.00,0.00,1.00,0.00,0.00,-0.00,0.00,-0.01
581,68,23.57,74351.34,-0.00,-0.00,0.99,0.01,0.03,0.00,-0.00,-0.01
651,70,23.57,74351.62,-0.00,0.00,1.00,0.01,0.00,0.00,-0.00,-0.01
720,69,23.57,74351.62,0.00,-0.00,1.00,0.01,-0.05,0.02,-0.00,-0.02
789,69,23.57,74351.62,0.00,0.00,0.99,0.00,0.02,-0.00,0.00,-0.02
857,68,23.57,74351.95,0.00,0.00,1.00,-0.02,0.02,-0.00,0.00,-0.02
925,68,23.57,74352.12,-0.00,-0.00,1.00,-0.01,0.00,-0.02,0.00,-0.01
1002,77,23.57,74352.01,0.00,0.00,1.00,0.03,-0.05,-0.02,0.00,-0.02
1066,64,23.57,74352.01,0.00,-0.00,0.99,0.00,0.00,-0.00,0.00,-0.01
1135,69,23.57,74351.85,0.00,0.00,0.99,-0.01,0.02,0.02,0.00,-0.01
1204,69,23.57,74352.01,0.00,0.00,1.00,-0.02,0.02,-0.00,0.01,-0.01
1274,70,23.57,74351.85,-0.00,0.00,0.99,0.01,-0.00,0.03,0.01,-0.01
1343,69,23.57,74351.85,0.00,0.00,0.99,0.00,-0.00,0.00,0.01,-0.01
1412,69,23.57,74351.68,-0.00,-0.00,1.00,-0.02,0.00,0.00,0.01,-0.01
1590,178,23.57,74351.51,0.00,0.00,0.99,-0.01,0.03,0.02,0.00,-0.01
1843,253,23.56,74351.29,-0.00,-0.00,0.99,-0.01,-0.00,0.03,0.01,0.00
1893,50,23.56,74351.12,0.00,0.00,1.00,-0.01,0.00,-0.00,0.01,-0.00
1992,99,23.56,74351.46,0.00,-0.00,0.99,-0.01,-0.00,0.00,0.00,-0.00
2043,51,23.56,74351.64,-0.00,-0.00,0.99,-0.01,0.02,-0.02,0.00,0.00
2113,70,23.56,74351.80,0.00,-0.00,0.99,0.01,0.00,0.00,-0.00,-0.00
2183,70,23.56,74351.80,-0.00,0.00,0.99,-0.02,0.00,0.00,0.01,-0.00
2252,69,23.56,74351.64,-0.00,-0.00,0.99,0.01,-0.02,-0.00,0.00,0.00
2329,77,23.56,74351.64,0.00,-0.00,0.99,0.01,0.05,0.02,0.00,0.00
2391,62,23.56,74351.64,-0.00,0.00,1.00,0.00,-0.00,-0.00,0.00,0.00
2460,69,23.56,74351.91,0.00,0.00,0.99,0.01,-0.00,0.02,0.01,0.00
2528,68,23.56,74351.91,-0.00,-0.00,1.00,0.03,-0.05,0.00,0.00,0.00
2598,70,23.56,74351.57,0.00,0.00,0.99,0.01,0.03,-0.02,0.00,0.00
2665,67,23.56,74351.40,-0.00,0.00,1.00,0.01,-0.00,-0.00,0.01,0.01
2735,70,23.56,74351.23,0.00,0.00,1.00,-0.01,-0.00,0.02,0.01,0.00
2803,68,23.57,74351.34,-0.00,0.00,1.00,0.01,-0.00,-0.02,0.01,0.01
2879,76,23.57,74351.34,0.00,0.00,0.99,-0.02,-0.00,0.02,0.01,0.00
2942,63,23.57,74351.17,-0.00,0.00,0.99,-0.01,0.00,-0.00,0.01,0.00
3012,70,23.57,74351.17,-0.00,-0.00,1.00,-0.02,0.02,0.00,0.01,0.00
3082,70,23.57,74351.17,-0.00,0.00,1.00,0.01,0.00,0.00,0.01,0.00
3150,68,23.57,74351.17,0.00,-0.00,1.00,0.00,-0.02,0.00,0.01,0.00
3218,68,23.57,74351.17,0.00,0.00,0.99,0.01,-0.03,-0.00,0.01,0.00
3287,69,23.57,74351.45,0.00,-0.00,1.00,-0.01,0.03,0.00,0.00,-0.00
3361,74,23.57,74351.45,-0.00,0.00,1.00,0.00,0.00,-0.00,0.01,-0.00
3426,65,23.57,74351.45,-0.00,0.00,1.00,0.01,0.00,-0.02,0.01,0.00
3495,69,23.57,74351.45,-0.00,0.00,1.00,-0.01,-0.03,-0.00,0.01,0.01
3565,70,23.57,74351.62,-0.00,0.00,1.00,-0.02,0.00,-0.00,0.01,0.01
3635,70,23.57,74351.78,-0.00,0.00,0.99,-0.01,0.00,-0.03,0.02,0.01
3705,70,23.57,74352.12,-0.00,0.00,0.99,0.01,-0.00,-0.08,0.02,0.01
3774,69,23.57,74352.29,-0.00,-0.00,0.99,0.03,-0.00,0.00,0.02,0.02
3844,70,23.57,74352.76,-0.00,0.00,1.00,-0.02,0.02,0.00,0.02,0.02
3919,75,23.57,74352.46,0.00,0.00,1.00,-0.02,0.00,-0.02,0.02,0.02
3981,62,23.57,74352.46,-0.00,0.00,1.00,0.01,0.00,-0.03,0.02,0.02
4050,69,23.57,74352.29,-0.00,-0.00,1.00,0.01,-0.02,0.00,0.02,0.02
4119,69,23.57,74352.46,-0.00,0.00,0.99,0.03,0.00,-0.00,0.02,0.01
4188,69,23.57,74352.29,0.00,-0.00,1.00,0.01,0.03,-0.00,0.02,0.01
4256,68,23.57,74352.12,0.00,0.00,1.00,-0.02,-0.00,0.02,0.02,0.01
4325,69,23.57,74352.12,0.00,0.00,1.00,-0.02,-0.00,0.02,0.02,0.01
